BusNo,Routes,TD,TT
17,Vanthavalam|K.G. Chavadi|Santosh Nagar|Thirumalayampalayam Pirivu|Indian Bank|Chettipalayam Pirivu|Marappalam|Madukkarai Union Office|Madukkarai Police Station|Gandhi Nagar|Milekal|Kovaipudur Pirivu|B.K. Pudur|Kuniyamuthur Police Station|Edayarpalayam Pirivu|Nehru College|Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills,0 25 5 5 4 2 2 4 1 1 6 2 3 1 2 1 3 2 4 4 2 1 1 2 1 0 1 0 0 1 1 3 1 2,5:30 AM 6:30 AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 9:00PM 9:50PM
15,Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Ganapathy|Surya Hospital|C.M.S. School|Athipalayam Junction|Bharathi Nagar|Ramakrishna Mill|L.G.B. Nagar|Sivanandha Mills,0 1 4 5 1 1 1 2 1 1 0 1 0 1 3 3 1 2 3 2 1 1 2 1 2 1 2,4:45AM 6:15AM 7:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:45PM 2:15PM 3:45PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 8:15PM 9:15PM
15,Sivanandha Mills|L.G.B. Nagar|Ramakrishna Mill|Bharathi Nagar|Athipalayam Junction|C.M.S. School|Surya Hospital|Ganapathy|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur,0 1 1 2 1 2 2 1 2 2 2 2 3 2 1 1 0 1 1 2 2 4 1 3 2,4:45AM 6:15AM 7:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:45PM 2:15PM 3:45PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 8:15PM 9:15PM
14,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu|Tamil College|Perur|Perur Chettipalayam|Pachapalayam Junction|Kalampalayam|Thuruthipallam|Chellappa Goundan Puthur|Madampatti|Indira Nagar|Sennanur Thanneer Pandal|Spic|Chithrai Chavadi|Pooluvapatti|Ramanathapuram|Srinivasapuram|Alandurai High School|Aalandurai,0 2 3 1 1 0 0 1 1 3 3 1 3 1 1 1 3 1 3 2 2 4 3 4 4 5 2 3 6 1 5 3 5 1 1,5:50 AM 7:50 AM 9:50 AM 10:20 AM 10:50 AM 11:20 AM 1:20 PM 3:20 PM 5:20 PM 5:50 PM 6:20 PM 6:50 PM 7:20 PM 7:50 PM 8:20 PM 8:45 PM
14,Aalandurai|Srinivasapuram|Ramanathapuram|Pooluvapatti|Chithrai Chavadi|Spic|Sennanur Thanneer Pandal|Indira Nagar|Madampatti|Chellappa Goundan Puthur|Kalampalayam|Pachapalayam Junction|Perur Chettipalayam|Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Big Bazar Street|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town,0 2 5 2 6 1 5 3 3 5 7 3 5 2 1 4 1 2 1 1 1 3 3 1 1 2 1 1 0 0 1 1 2 3,5:50AM 7:50AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM 6:20PM 6:50PM 7:20PM 7:50PM 8:20PM 8:45PM
12D,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam|Karpagam Medical College & Hospital|Premier Mills|CKIT Institute|Polytechnic College|Vivek Vidyalaya Matric Higher Secondary School|V.S.B. College of Engineering|Mailrapalayam|Arasampalayam,0 2 3 1 1 0 0 1 3 2 4 1 1 5 1 2 1 2 2 3 1 3 3 4 2 1 2 4 2 1 3 2 8 1 3 10,7:00AM 7:00PM 7:30PM
12D,Arasampalayam|Mailrapalayam|V.S.B. College of Engineering|Vivek Vidyalaya Matric Higher Secondary School|Polytechnic College|CKIT Institute|Premier Mills|Karpagam Medical College & Hospital|Othakal Mandapam|Hindustan College|Malumichampatti|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 10 3 1 7 2 3 2 2 3 3 0 3 3 4 2 1 4 1 3 2 0 2 4 1 1 5 1 1 1 2 1 1 0 0 1 1 3 3,7:00AM 7:00PM 7:30PM
12C,Womens Polytechnic|R.T.O.|Stanes Higher Secondary School|Anna Statue|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari,0 1 2 1 2 0 1 0 1 1 3 1 5 1 1 5 1 2 1 2 2 3 1 3,5:35AM 6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:35PM 6:05PM 6:35PM 7:05PM 7:35PM 8:05PM 8:30PM
12C,Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|Stanes Higher Secondary School|R.T.O.|Womens Polytechnic,0 2 1 4 1 2 2 1 1 5 1 1 5 1 1 1 2 1 1 0 0 1 1 0 1 2 2,5:35AM 6:35AM 7:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 12:05PM 1:05PM 2:05PM 3:05PM 4:05PM 5:05PM 5:35PM 6:05PM 6:35PM 7:05PM 7:35PM 8:05PM 8:30PM
12,Gandhipuram Town Bus Stand|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumichampatti|Hindustan College|Othakal Mandapam,0 2 3 1 1 0 0 1 3 2 4 1 1 5 1 2 1 2 2 3 1 3 3 4 2 1 2 4,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 8:15PM
12,Othakal Mandapam|Hindustan College|Malumichampatti|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town Bus Stand,0 3 3 0 3 3 4 2 1 4 1 3 2 0 2 4 1 1 5 1 1 1 2 1 1 0 0 1 1 3 2,5:30AM 6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 8:15PM
9,Ukkadam Bus Stand|Ukkadam|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Anna Statue|K.P.R. Mill|GKNM Hospital|Lakshmi Mills|Nava India|Suguna Kalyana Mandapam Bus stop|P.S.G. Tech / Peelamedu|Krishnamal College|Fun Mall|Varatharaja Mills|G.R.G. School|Wipro|Thanneer Pandal|Bharathi Nagar|Kumudham Nagar|Cheranma Nagar,0 0 1 1 1 2 1 1 0 0 1 1 1 3 1 1 3 2 2 2 2 1 1 1 3 2 3 2,5:00AM 6:00AM 7:00AM 8:00AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 9:00PM 9:30PM
9,Cheranma Nagar|Kumudham Nagar|Bharathi Nagar|Thanneer Pandal|Wipro|G.R.G. School|Varatharaja Mills|Fun Mall|Krishnamal College|P.S.G. Tech / Peelamedu|Suguna Kalyana Mandapam|Nava India|Lakshmi Mills|GKNM Hospital|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Ukkadam|Ukkadam Bus Stand,0 2 2 2 3 1 1 2 1 2 2 2 4 1 4 0 2 0 0 1 1 2 2 0,5:00AM 6:00AM 7:00AM 8:00AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM 6:00PM 6:30PM 7:00PM 7:30PM 8:00PM 9:00PM 9:30PM
2C,Sanganoor|Government School|R.K.G. Industrial Estate|Ganesh Theatre|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Gandhipuram Town|Park Gate|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Town Hall|Mahalakshmi Bakery|Chetty Street|High School|Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital|Telungupalayam Pirivu|Tamil College|Perur,0 0 2 1 3 2 2 2 3 2 1 1 0 1 1 1 2 3 2 2 1 1 1 3 2 3 1,5:25AM 7:25AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:25PM 5:50PM
2C,Perur|Tamil College|Telungupalayam Pirivu Bus Stop|Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram|High School|Chetty Street|Mahalakshmi Bakery|Prakasam|Raja Street|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|C.S.I. School|V.O.C. Park|Park Gate|Gandhipuram Town|G.P. Hospital|Lakshmipuram|Tex Tool / Velan Theatre|Government Higher Secondary School Ganapathy|Ganesh Theatre|R.K.G. Industrial Estate|Government School|Sanganoor,0 1 1 3 3 1 2 3 1 2 1 2 1,5:25AM 7:25AM 9:25AM 9:55AM 10:25AM 10:55AM 11:25AM 1:25PM 3:25PM 5:25PM 5:50PM
2B,"Telungupalayam Hospital|L.I.C. Colony|Muthusawamy Colony|Selvapuram	High School|Chetty Street|Prakasam|Manikoondu / Town Hall|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church	C.S.I. School|V.O.C. Park|Anna Statue|Stanes Higher Secondary School|R.T.O.|Womens Polytechnic|Gandhipuram Town Bus Stand|G.P. Hospital	Lakshmipuram|Tex Tool / Velan Theatre|Ganapathy	Surya Hospital|C.M.S. School|Athipalayam Junction|Bharathi Nagar|Ramakrishna Mill|Ayurvedic Hospital|Ganapathy Housing Unit",0 2 1 1 1 3 3 1 3 0 1 0 1 0 1 1 0 2 2 3 1 2 3 2 1 1 2 2 2 2 3,5:20AM 7:20AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM 6:15PM
2B,"Ganapathy Housing Unit|Ayurvedic Hospital|Ramakrishna Mill|Bharathi Nagar|Athipalayam Junction|C.M.S. School|Surya Hospital|Ganapathy|Tex Tool / Velan Theatre|Lakshmipuram|G.P. Hospital|Womens Polytechnic|R.T.O.|Stanes Higher Secondary School|Anna Statue|V.O.C. Park|C.S.I. School|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Town Hall|Mahalakshmi Bakery|Chetty Street|High School	Selvapuram|Muthusawamy Colony|L.I.C. Colony|Telungupalayam Hospital",0 2 3 2 1 2 1 1 3 2 2 3 2 2 0 1 1 0 1 0 1 3 3 1 3 1 1 1 2,5:20AM 7:20AM 9:20AM 9:50AM 10:20AM 10:50AM 11:20AM 1:20PM 3:20PM 5:20PM 5:50PM 6:15PM
S27,"Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Vasantha Mill|Shanthi Gears|Jai Sai Shanthi|Saint Joseph School|Saint Joseph Matriculation Secondary School|Ondipudur|Sri Hari Mills|Kamatchipuram|Kadri Mills High School|Karthik Mills|Krishna Priya Thirumana Mandapam|L & T Bypass|Saraswathi Hospital|Cindhamanipudur|Pappampatti Pirivu|Barathipuram|KIT-Kalaignarkarunanidhi Institute|Pallapalayam	Kannampalayam Pirivu|VKSM Cotton Mill|Nadupalayam Pirivu|Peedampalli|Valarmathi School|Pappampatti Post Office|Pappampatti",0 1 1 0 1 3 1 1 1 2 1 2 1 1 2 1 1 2 1 1 2 2 1 2 1 1 1 1 4 1 1 1 0 1 1 1 2 2 2 1 1 2 2 3 5 2 1,6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM
S27,Pappampatti|Peedampalli Pirivu|Valarmathi School|Peedampalli|Nadupalayam Pirivu|VKSM Cotton Mill|Kannampalayam Pirivu|Pallapalayam|KIT-Kalaignarkarunanidhi Institute|Barathipuram|Cindhamanipudur|Saraswathi Hospital|L & T Bypass|Krishna Priya Thirumana Mandapam|Kadri Mills High School|Kamatchipuram|Sri Hari Mills|Ondipudur|Saint Joseph Matriculation Secondary School|Saint Joseph School|Jai Sai Shanthi|Shanthi Gears|Vasantha Mill|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam,0 0 3 4 4 2 1 2 0 2 3 1 1 1 1 1 1 4 1 1 1 1 2 1 2 2 1 1 2 1 1 2 1 1 2 1 2 1 1 2 3 1,6:45AM 7:45AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM
S22,E.S.I. Hospital|Varadharajapuram|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kurichi Pirivu|Kurichi Pirivu Housing Unit|Iyer Hospital|Sundarapuram|Gandhi Nagar|L.I.C. Colony|Sidco|K.P.M. Matriculation School|Rathinam College|Eachanari|Karpagam University|Ganesh Nagar|Malumichampatti Junction|Malumicham Patti Panchayat Union School|Sidco Malumichampatti|Coimbatore Golf Club|Chettipalayam,"0	0 2 2 2 1 1 2 0 2 1 2 1 2 1 2 1 1 2 2 2 5 1 1 4 2 1 2 2 1 4 1 2 3 4 3 2 3 5 4",6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM
S22,Chettipalayam|Coimbatore Golf Club|Sidco Malumichampatti|Malumicham Patti Panchayat Union School|Malumichampatti Junction|Ganesh Nagar|Karpagam University|Eachanari|Rathinam College|K.P.M. Matriculation School|Sidco|L.I.C. Colony|Gandhi Nagar|Sundarapuram|Iyer Hospital|Kurichi Pirivu Housing Unit|Kurichi Pirivu|Athupalam|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam|Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Varadharajapuram|E.S.I. Hospital,0 4 4 4 2 2 4 3 2 2 3 2 2 2 0 2 4 2 0 5 3 0 1 1 2 1 2 1 2 0 3 1 1 2 1 1 2 0 2 2 1 2 1,6:30AM 7:30AM 8:30AM 9:00AM 9:30AM 10:00AM 10:30AM 11:00AM 12:00PM 1:00PM 2:00PM 3:00PM 4:00PM 5:00PM 5:30PM
S15,Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Railway Station|Collector Office|D.S.P. Office|Oriental Insurance|C.S.I. Immanuel Church|Gandhi Park Corporation Complex|R.S. Puram Boys Higher Secondary School|Shri Nehru Vidyalaya|M.C. Complex|Tamilnadu Agricultural University Main Gate|Botanical Garden|Sri Lakshmi Vinayagar Thirukovil|P.N. Pudur|Perumal Kovil|Mullai Nagar|Karupparayan Kovil|Vadavalli High School|Vadavalli|Aalamaram|Thiruvalluvar Nagar|Navavoor Pirivu|Kalveerampalayam|Nalvar Nagar|Bharathiyar University 1st Gate|Bharathiyar University 2nd Gate|I.O.B. Colony|Law College|Maruthamalai Bus Stand,0 1 3 1 1 1 1 2 1 2 1 2 1 1 2 1 1 1 1 1 0 0 8 1 1 3 2 1 2 1 2 1 2 2 1 2 2 2 1 2 2 2 1 1 2,6:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 1:15PM 3:15PM 5:15PM 5:30PM
S15,Maruthamalai Bus Stand|Law College|I.O.B. Colony|Bharathiyar University – 2|Bharathiyar University 1st Gate|Nalvar Nagar|Kalveerampalayam|Navavoor Pirivu|Thiruvalluvar Nagar|Aalamaram|Vadavalli|Vadavalli High School|Karupparayan Kovil|Mullai Nagar|Perumal Kovil|P.N. Pudur|Sri Lakshmi Vinayagar Thirukovil|Botanical Garden|Tamilnadu Agricultural University Main Gate|Lawley Road|C.S.I. Immanuel Church|D.S.P. Office|Collector Office|Railway Station|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur,0 1 1 1 3 1 2 2 1 3 1 2 1 2 1 2 1 2 1 3 10 1 0 1 1 1 2 1 2 0 2 2 1 2 1 1 2 0 2 2 2,6:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 1:15PM 3:15PM 5:15PM 5:30PM
S13,E.S.I. Hospital|Varadharajapuram|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Prakasam|Oppanakara Street|Gandhi Park Corporation Complex|R.S. Puram Boys Higher Secondary School|Shri Nehru Vidyalaya|M.C. Complex|Tamilnadu Agricultural University Main Gate|Botanical Garden|Sri Lakshmi Vinayagar Thirukovil|P.N. Pudur|Perumal Kovil|Mullai Nagar|Karupparayan Kovil|Vadavalli High School|Vadavalli|Aalamaram|Thiruvalluvar Nagar|Navavoor Pirivu|Kalveerampalayam|Nalvar Nagar|Bharathiyar University 1st Gate|Bharathiyar University 2nd Gate|I.O.B. Colony|Law College|Maruthamalai Bus Stand,0 0 2 2 2 1 1 2 0 2 1 2 1 2 1 2 1 1 2 2 1 1 5 1 1 3 2 1 2 2 1 1 2 2 1 2 2 2 1 2 2 2 1 1 2,6:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 1:05PM 3:05PM 5:05PM 5:35PM 6:05PM 6:35PM 7:05PM 7:30PM
S13,Maruthamalai Bus Stand|Law College|I.O.B. Colony|Bharathiyar University – 2|Bharathiyar University 1st Gate|Nalvar Nagar|Kalveerampalayam|Navavoor Pirivu|Thiruvalluvar Nagar|Aalamaram|Vadavalli|Vadavalli High School|Karupparayan Kovil|Mullai Nagar|Perumal Kovil|P.N. Pudur|Sri Lakshmi Vinayagar Thirukovil|Botanical Garden|Tamilnadu Agricultural University Main Gate|Lawley Road|Shri Nehru Vidyalaya|R.S. Puram Boys Higher Secondary School|Gandhi Park Corporation Complex|Thermutti|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur|Varadharajapuram|E.S.I. Hospital,0 1 1 1 3 1 2 2 1 3 1 2 1 2 1 2 1 2 1 3 2 1 2 3 2 1 0 3 1 2 1 1 1 2 2 1 1 2 1 1 1 2 2 1 2 1,6:35AM 8:35AM 9:05AM 9:35AM 10:05AM 10:35AM 11:05AM 1:05PM 3:05PM 5:05PM 5:35PM 6:05PM 6:35PM 7:05PM 7:30PM
S5,Singanallur Bus Stand|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur|Nehru College|Edayarpalayam Pirivu|Kuniyamuthur Police Station|B.K. Pudur|Kovaipudur Pirivu|Milekal|Gandhi Nagar|Madukkarai Police Station|Madukkarai Union Office|Marappalam|Chettipalayam Pirivu|Indian Bank|Thirumalayampalayam Pirivu|Thirumalayampalayam,0 1 2 1 2 1 1 1 2 1 2 2 1 1 1 2 1 3 2 4 1 3 2 3 1 2 2 2 2 6 1 1 4 3 1 4 5,6:15AM 7:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 7:50PM
S5,Thirumalayampalayam Bus Stand|Thirumalayampalayam Pirivu|Indian Bank|Chettipalayam Pirivu|Marappalam|Madukkarai Union Office|Madukkarai Police Station|Gandhi Nagar|Milekal|Kovaipudur Pirivu|B.K. Pudur|Kuniyamuthur Police Station|Edayarpalayam Pirivu|Nehru College|Kuniyamuthur|Kuniyamuthur High School|Karumbukadai|Ukkadam|Prakasam|Raja Street|Five Corner|Manikoondu / Town Hall|Government Hospital|Saint Francis Anglo Indian Girls High School|Rainbow|Air India|Sungam|Chinthamani|Olympus|Ramanathapuram|Sowripalayam Pirivu|Alvernia School|Andal Marriage Hall / Iyer Hospital|Central Studios|Rajalakshmi Mill|Children Hospital|Boat House|Uzhavar Sandhai|Singanallur Bus Stand,0 4 4 2 2 4 1 1 7 2 2 2 2 1 2 2 4 5 1 1 0 1 3 1 1 2 1 1 2 2 1 1 2 1 1 1 1 3 1,6:15AM 7:15AM 8:15AM 8:45AM 9:15AM 9:45AM 10:15AM 10:45AM 11:15AM 12:15PM 1:15PM 2:15PM 3:15PM 4:15PM 5:15PM 5:45PM 6:15PM 6:45PM 7:15PM 7:45PM 7:50PM
110B,E.S.I. Hospital|Varadharajapuram|Singanallur|Uzhavar Sandhai|Boat House|Children Hospital|Rajalakshmi Mill|Central Studios|Andal Marriage Hall / Iyer Hospital|Alvernia School|Sowripalayam Pirivu|Ramanathapuram|Olympus|Chinthamani|Sungam|Air India|Rainbow|Saint Francis Anglo Indian Girls High School|Government Hospital|Town Hall|Ukkadam|Karumbukadai|Athupalam|Kuniyamuthur High School|Kuniyamuthur|Nehru College|Edayarpalayam Pirivu|Kuniyamuthur Police Station|B.K. Pudur|Kovaipudur Pirivu|Milekal|Gandhi Nagar|Kurumbapalayam,0 0 2 2 2 1 1 2 0 2 1 2 1 2 1 2 1 1 2 2 2 5 1 3 1 3 1 2 2 2 2 6 5,5:00AM 8:00AM 9:00AM 10:00AM 11:00AM 2:00PM 5:00PM 6:00PM 6:20PM
